Expiry,1Yr,2Yr,3Yr,4Yr,5Yr,7Yr,10Yr,12Yr,15Yr,20Yr,25Yr,30Yr
1Mo,0.008158,0.008425,0.008414,0.00837,0.008138,0.007989,0.007822,0.007805,0.007781,0.007765,0.007734,0.007715
3Mo,0.008246,0.008528,0.008469,0.008299,0.008126,0.007946,0.007861,0.007841,0.007815,0.007777,0.007758,0.00775
6Mo,0.008616,0.008603,0.008475,0.00833,0.008138,0.008018,0.007953,0.007943,0.00793,0.007909,0.0079,0.00791
9Mo,0.008751,0.008663,0.008486,0.008391,0.008293,0.008139,0.008044,0.00804,0.008033,0.008024,0.008023,0.008035
1Yr,0.008863,0.008689,0.008461,0.008386,0.008313,0.008182,0.008087,0.00808,0.008066,0.008041,0.008035,0.008038
2Yr,0.008729,0.008572,0.008448,0.0084,0.008342,0.008262,0.008204,0.00817,0.008116,0.008061,0.008035,0.008032
3Yr,0.008688,0.008511,0.008417,0.008383,0.008361,0.0083,0.008248,0.008204,0.008134,0.008068,0.008036,0.00803
4Yr,0.008638,0.00849,0.008456,0.008414,0.008381,0.008334,0.0083,0.008244,0.008158,0.008073,0.008033,0.008022
5Yr,0.008608,0.008495,0.008462,0.008433,0.008409,0.008364,0.008329,0.00826,0.008153,0.00807,0.008026,0.008007
6Yr,0.008617,0.008551,0.00851,0.008481,0.008466,0.008399,0.008336,0.00826,0.008144,0.008046,0.007999,0.007985
7Yr,0.008684,0.008604,0.00857,0.008534,0.008508,0.008428,0.008346,0.008259,0.008129,0.00803,0.007981,0.007962
8Yr,0.008703,0.008629,0.008573,0.008538,0.008498,0.008404,0.008314,0.00822,0.00808,0.007976,0.007924,0.0079
9Yr,0.00872,0.008618,0.008564,0.008528,0.008488,0.008404,0.008286,0.008182,0.008028,0.007928,0.007863,0.007844
10Yr,0.008729,0.008619,0.008567,0.008519,0.008483,0.008381,0.008257,0.008146,0.007982,0.00788,0.007807,0.007788
12Yr,0.008648,0.008546,0.008473,0.0084,0.008344,0.008252,0.008124,0.008011,0.007846,0.007739,0.007673,0.007653
15Yr,0.008575,0.008446,0.008313,0.008234,0.008141,0.008053,0.007924,0.007807,0.007636,0.007823,0.007463,0.007448
20Yr,0.008057,0.007939,0.007864,0.00774,0.007643,0.007555,0.007428,0.007326,0.007181,0.007086,0.007043,0.007032
25Yr,0.007775,0.007716,0.007624,0.007516,0.00739,0.00729,0.007116,0.007031,0.006906,0.006843,0.006801,0.006798
30Yr,0.007417,0.007441,0.007401,0.007336,0.007271,0.007057,0.006776,0.006702,0.006593,0.006545,0.006519,0.006581
